Country,Year,Cellphone,Internetuser,Radio,Telephone,Xlpopulation,Xlrealgdp
Russia,1910,0,0,0,0,0,0
Russia,1911,0,0,0,0,0,0
Russia,1912,0,0,0,0,0,0
Russia,1913,0,0,0,0,156192,232351
Russia,1914,0,0,0,0,0,0
Russia,1915,0,0,0,0,0,0
Russia,1916,0,0,0,0,0,0
Russia,1917,0,0,0,0,0,0
Russia,1918,0,0,0,0,0,0
Russia,1919,0,0,0,0,0,0
Russia,1920,0,0,0,0,154607,0
Russia,1921,0,0,0,0,152836,0
Russia,1922,0,0,0,0,152403,0
Russia,1923,0,0,0,0,153055,0
Russia,1924,0,0,0,0,155581,0
Russia,1925,0,0,0,0,158983,0
Russia,1926,0,0,0,0,162621,0
Russia,1927,0,0,0,0,166117,0
Russia,1928,0,0,92,0,169269,231886
Russia,1929,0,0,443,0,172017,238392
Russia,1930,0,0,794,0,174212,252333
Russia,1931,0,0,1145,0,175987,257213
Russia,1932,0,0,1497,0,176807,254424
Russia,1933,0,0,2184,0,177401,264880
Russia,1934,0,0,2872,0,178453,290903
Russia,1935,0,0,3560,0,179636,334818
Russia,1936,0,0,4248,0,181502,361306
Russia,1937,0,0,4936,0,184626,398017
Russia,1938,0,0,5624,0,188498,405220
Russia,1939,0,0,6312,0,192379,430314
Russia,1940,0,0,0,0,195970,420091
Russia,1941,0,0,0,0,0,0
Russia,1942,0,0,0,0,0,0
Russia,1943,0,0,0,0,0,0
Russia,1944,0,0,0,0,0,0
Russia,1945,0,0,0,0,0,333656
Russia,1946,0,0,10780,0,173900,332727
Russia,1947,0,0,11410,0,174000,369903
Russia,1948,0,0,12040,0,175100,420555
Russia,1949,0,0,12670,0,177500,465631
Russia,1950,0,0,13300,0,180050,510243
Russia,1951,0,0,17737,0,183200,512566
Russia,1952,0,0,22175,0,186400,545792
Russia,1953,0,0,26612,0,189500,569260
Russia,1954,0,0,31050,0,192700,596910
Russia,1955,0,0,35487,0,196150,648027
Russia,1956,0,0,39925,0,199650,710065
Russia,1957,0,0,44362,0,203150,724470
Russia,1958,0,0,48800,0,206700,778840
Russia,1959,0,0,53900,0,210450,770244
Russia,1960,0,0,58600,0,214350,843434
Russia,1961,0,0,62600,0,218150,891763
Russia,1962,0,0,65900,0,221750,915928
Russia,1963,0,0,67400,0,225100,895016
Russia,1964,0,0,72300,0,228150,1000000
Russia,1965,0,0,73800,0,230900,1100000
Russia,1966,0,0,76800,0,233500,1100000
Russia,1967,0,0,80700,0,236000,1200000
Russia,1968,0,0,85500,0,238350,1200000
Russia,1969,0,0,90100,0,240600,1300000
Russia,1970,0,0,94600,0,242757,1400000
Russia,1971,0,0,99900,0,245083,1400000
Russia,1972,0,0,101600,0,247459,1400000
Russia,1973,0,0,103300,0,249747,1500000
Russia,1974,0,0,105000,0,252131,1600000
Russia,1975,0,0,106700,5898550,254469,1600000
Russia,1976,0,0,108400,6503590,256760,1600000
Russia,1977,0,0,110100,7710361.5,259029,1700000
Russia,1978,0,0,112000,8417989,261253,1700000
Russia,1979,0,0,125000,9227054,263425,1700000
Russia,1980,0,0,130000,9736913,265542,1700000
Russia,1981,0,0,135000,11085418,267722,1700000
Russia,1982,0,0,140000,11899204,270042,1800000
Russia,1983,0,0,150000,12770879,272540,1800000
Russia,1984,0,0,160000,13725695,275066,1800000
Russia,1985,0,0,162000,14758089,277537,1900000
Russia,1986,0,0,170000,15856723,280236,1900000
Russia,1987,0,0,180000,16781722,283100,2000000
Russia,1988,0,0,180000,18043864,285463,2000000
